,window_size,h_words,h_wordset
0,1.0,9.428671185910723,9.428671185910723
1,2.0,15.370423994669979,16.3100819531243
2,3.0,21.3121632833434,24.41397342252459
3,4.0,27.253917424635297,33.128077940812524
4,5.0,33.19567760689791,42.156155728768105
